,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2002-01-29,0.41196400000000005,-0.9962,0.116,0.793,0.092,0.41464300000000004,0.420357,0.408036,240324000.0
2002-01-30,0.430179,-0.9981,0.099,0.837,0.064,0.41196400000000005,0.431071,0.40964300000000003,471576000.0
2002-01-31,0.441429,-0.9949,0.1,0.83,0.07,0.431429,0.44160699999999997,0.430536,468445600.0
2002-02-01,0.43589300000000003,-0.997,0.129,0.785,0.087,0.434643,0.44571400000000005,0.434643,398305600.0
2002-02-04,0.452679,-0.7558,0.085,0.823,0.093,0.43428599999999995,0.455714,0.43214300000000005,522373600.0
2002-02-05,0.45446400000000003,-0.9971,0.087,0.86,0.053,0.448036,0.463929,0.44785699999999995,456887200.0
2002-02-06,0.440536,-0.9981,0.126,0.778,0.096,0.457143,0.463929,0.43125,597576000.0
2002-02-07,0.433929,-0.9894,0.103,0.806,0.091,0.440179,0.451607,0.43,347832800.0
2002-02-08,0.42910699999999996,-0.9966,0.102,0.826,0.073,0.43571400000000005,0.44,0.417321,355331200.0
2002-02-11,0.446071,0.9959,0.071,0.841,0.088,0.427321,0.446429,0.423929,398602400.0
2002-02-12,0.44125,-0.9342,0.094,0.814,0.092,0.440357,0.447143,0.43660699999999997,224280000.0
2002-02-13,0.446607,-0.9957,0.124,0.771,0.105,0.44160699999999997,0.45071400000000006,0.440179,312872000.0
2002-02-14,0.43928599999999995,-0.9861,0.094,0.829,0.077,0.447321,0.450536,0.435357,260170400.0
2002-02-15,0.42678599999999994,-0.9983,0.135,0.768,0.097,0.438036,0.446071,0.425893,260187200.0
2002-02-19,0.403929,0.9455,0.097,0.793,0.11,0.42428599999999994,0.42625,0.401429,390258400.0
2002-02-20,0.41303599999999996,-0.9982,0.103,0.833,0.064,0.406607,0.414286,0.399107,285443200.0
2002-02-21,0.383929,-0.9983,0.118,0.793,0.089,0.40928600000000004,0.410714,0.383036,446751200.0
2002-02-22,0.406071,-0.9956,0.125,0.77,0.104,0.386786,0.409821,0.383929,406476000.0
